Date,Open,High,Low,Close,Adj Close,Volume
11/01/2011,12.317143,12.32,12.123929,12.201429,10.476347,444108000
12/01/2011,12.258929,12.301071,12.214286,12.300714,10.561593,302590400
13/01/2011,12.327143,12.38,12.280357,12.345714,10.600231,296780400
14/01/2011,12.353214,12.445714,12.301429,12.445714,10.686094,308840000
18/01/2011,11.768571,12.312857,11.642857,12.166071,10.445989,1880998000
19/01/2011,12.441071,12.45,12.031429,12.101429,10.390487,1135612800
20/01/2011,12.015357,12.082143,11.79,11.881429,10.201589,764789200
21/01/2011,11.920357,11.96,11.665357,11.668571,10.018831,754401200
24/01/2011,11.673929,12.051786,11.668571,12.051786,10.347862,574683200
25/01/2011,12.011786,12.194286,11.948929,12.192857,10.468988,546868000
26/01/2011,12.248571,12.342857,12.196429,12.280357,10.544121,506875600
27/01/2011,12.277857,12.310357,12.243929,12.2575,10.524489,285026000
28/01/2011,12.291786,12.3,11.911786,12.003571,10.306462,592057200
31/01/2011,11.992857,12.144286,11.939286,12.118571,10.405202,377246800
1/02/2011,12.189286,12.344643,12.177857,12.3225,10.580302,426633200
2/02/2011,12.301786,12.330357,12.269643,12.297143,10.558531,258955200
3/02/2011,12.278571,12.294286,12.091071,12.265714,10.531544,393797600
4/02/2011,12.272857,12.382143,12.268214,12.375,10.625378,321840400
7/02/2011,12.424643,12.616071,12.415714,12.567143,10.790357,485021600
8/02/2011,12.631429,12.697143,12.576786,12.685714,10.892162,381040800
9/02/2011,12.685357,12.821429,12.673929,12.791429,10.98293,482745200
10/02/2011,12.763929,12.857143,12.428571,12.662143,10.871922,928550000
11/02/2011,12.669643,12.778571,12.626429,12.744643,10.942761,367572800
14/02/2011,12.7425,12.838571,12.739643,12.827857,11.014208,310416400
15/02/2011,12.828214,12.856071,12.769643,12.853571,11.036286,284174800
16/02/2011,12.885714,13.032143,12.875,12.968929,11.135336,481157600
17/02/2011,12.758929,12.866786,12.732857,12.796429,10.987223,530583200
18/02/2011,12.811071,12.839286,12.482857,12.52,10.749878,816057200
22/02/2011,12.219643,12.335714,12.061429,12.093214,10.383432,872555600
23/02/2011,12.098929,12.308571,12.093214,12.236429,10.506399,671854400
24/02/2011,12.286429,12.326786,12.084643,12.245714,10.514373,499900800
25/02/2011,12.330714,12.443929,12.314286,12.434286,10.676282,380018800
